SSC_CODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
SSC50040,1315,1313,2632,630,703,1332,48,53,102,45,52,94,65,85,153,16,17,26,1655,1757,3413,4,4,11,14,12,24,0,0,0,0,0,0,1850,1976,3823,368,420,789,28,22,52,2876,3128,6003,247,223,465,4434,4663,9100
SSC50041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,4,3,8
SSC50042,8,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,0,6,9,15
SSC50043,21,19,38,6,8,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,8,5,13,0,0,0,24,26,50
SSC50044,8,3,9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,9,0,0,0,0,0,0,0,0,0,0,0,0,4,3,9,0,0,3,0,0,0,7,6,8,0,0,0,10,9,23
SSC50045,15,12,25,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,0,4,0,0,0,21,10,37
SSC50046,10,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,0,0,0,0,0,0,3,4,7,0,0,0,13,10,23
SSC50047,3,5,7,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,4,6,10
SSC50048,56,44,106,6,13,19,0,0,0,0,0,0,3,5,12,3,0,4,14,21,30,0,0,0,0,0,0,0,0,0,0,0,0,19,22,46,0,3,9,0,0,0,29,36,68,5,6,10,94,90,185
SSC50049,3,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,11
SSC50050,10,8,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,0,0,0,0,0,0,4,6,8,7,6,15,25,16,40
SSC50051,336,327,662,26,32,60,0,8,11,0,3,3,0,3,7,0,0,0,126,120,239,0,0,0,0,0,0,0,0,0,0,0,0,128,132,258,5,3,11,8,0,8,170,166,338,36,28,66,544,523,1062
SSC50052,56,55,112,3,3,10,0,0,0,0,0,0,0,0,0,0,0,0,10,12,25,0,0,0,0,0,3,0,0,0,0,0,0,8,12,25,0,0,0,0,0,0,18,14,33,5,7,16,79,87,161
SSC50053,2413,2719,5128,188,179,368,30,38,69,26,23,49,28,31,58,12,13,23,1133,1124,2257,0,0,0,4,6,13,4,6,15,0,0,0,1252,1238,2492,462,458,921,25,35,61,1930,1907,3837,366,423,789,4712,5050,9759
SSC50054,4201,4247,8450,1349,1468,2816,212,228,441,187,179,363,227,236,461,67,77,145,4947,5473,10420,40,37,76,63,70,133,15,13,25,5,6,6,5758,6309,12068,1201,1331,2531,88,73,160,8384,9180,17572,1241,1110,2352,13833,14542,28373
SSC50055,2103,2071,4173,334,327,661,38,32,72,52,48,97,24,36,60,34,16,49,1673,1549,3224,4,3,9,9,12,19,0,3,3,0,0,0,1833,1693,3525,951,876,1830,49,38,88,3166,2933,6093,660,622,1282,5929,5620,11551
SSC50056,167,175,342,14,20,35,0,0,0,0,0,0,3,3,3,0,0,0,37,47,92,0,0,0,0,0,0,0,0,0,0,0,0,38,52,96,3,9,8,0,0,0,58,83,139,21,16,37,246,275,522
SSC50057,5,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,10,0,0,0,0,0,0,0,0,0,0,0,0,6,4,10,0,0,0,0,0,0,5,4,14,3,0,3,13,10,29
SSC50058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50059,23,22,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,12,0,0,0,0,0,0,0,0,0,0,0,0,4,9,12,3,0,3,3,3,7,10,8,18,3,3,7,38,38,71
SSC50060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,8,5
SSC50061,5806,5929,11732,478,495,972,33,33,70,26,26,52,25,21,47,16,16,30,1469,1457,2925,3,8,13,7,4,12,3,4,3,0,0,0,1596,1567,3158,434,478,913,46,28,78,2550,2568,5123,400,352,752,8754,8855,17606
SSC50062,6,8,13,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,4,5,0,3,3,12,13,23
SSC50063,29,14,40,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,6,3,11,0,0,0,0,0,0,0,0,0,0,0,0,6,3,11,0,0,0,0,0,0,9,7,16,3,3,10,38,27,66
SSC50064,16,13,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,8,0,0,0,0,0,0,0,0,0,0,0,0,4,5,8,0,0,0,0,0,0,4,5,8,7,0,5,20,21,45
SSC50065,14,12,23,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,5,8,0,0,0,0,0,0,0,0,0,0,0,0,5,5,8,0,0,0,0,0,0,5,5,12,3,8,11,20,20,44
SSC50066,63,72,132,35,38,69,4,3,3,0,0,0,0,4,5,0,0,0,19,17,38,0,0,0,0,0,0,0,0,0,0,0,0,23,26,49,0,0,0,0,0,0,62,56,121,18,12,30,137,144,285
SSC50067,54,24,74,6,8,12,0,0,0,4,0,5,9,3,14,0,0,3,51,13,61,3,0,3,3,0,3,0,0,0,0,0,0,78,16,92,13,3,14,0,0,0,98,25,116,8,0,8,156,45,206
SSC50068,467,452,914,40,44,87,9,13,21,0,0,0,9,8,11,3,4,4,317,290,607,0,3,7,3,0,3,0,0,0,0,0,0,345,318,660,57,73,131,10,8,24,455,452,903,74,54,126,993,952,1947
SSC50069,1337,1362,2698,223,247,473,41,40,75,22,27,45,37,31,64,24,16,39,1591,1775,3369,9,14,22,8,11,17,4,3,11,0,0,0,1731,1912,3648,420,462,887,46,42,89,2421,2668,5090,266,242,510,4021,4268,8292
SSC50070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50071,33,22,54,3,3,10,3,0,3,0,0,4,0,0,0,0,0,0,38,11,46,0,0,0,0,0,0,0,0,0,0,0,0,39,12,53,5,3,5,0,0,0,50,18,64,12,0,14,95,34,137
SSC50072,9,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,11,8,21
SSC50073,3,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,0,0,0,3,6,10,0,0,0,11,13,22
SSC50074,12,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,9,19,8,26
SSC50075,301,279,588,4,3,14,5,0,7,4,3,4,0,3,3,0,0,0,104,108,210,0,0,0,0,0,0,0,0,0,0,0,0,109,115,221,8,11,15,0,5,4,123,133,254,24,21,46,453,433,885
SSC50076,376,22,401,3,0,5,102,4,105,85,8,91,168,14,177,28,0,33,489,64,551,3,0,6,4,0,9,0,0,0,0,0,0,882,87,973,156,13,163,8,0,8,1047,98,1147,391,29,414,1811,151,1965
SSC50077,93,94,180,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,39,36,76,0,0,0,0,0,0,0,0,0,0,0,0,39,36,76,3,3,4,0,0,0,46,39,85,10,4,13,146,136,280
SSC50078,2531,2668,5201,357,335,684,29,30,62,35,34,65,41,38,81,11,12,23,1072,1179,2254,10,7,18,10,15,24,0,4,4,0,0,0,1212,1312,2525,263,259,525,36,34,66,1864,1935,3799,289,324,618,4685,4934,9623
SSC50079,1059,1129,2195,33,35,66,16,16,29,8,5,13,12,11,18,6,10,18,375,373,746,0,0,0,0,3,3,0,0,0,0,0,0,416,406,824,158,154,314,5,3,11,613,598,1208,70,83,157,1748,1810,3555
SSC50080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50081,252,229,481,451,414,863,57,49,107,56,50,100,86,87,173,20,24,45,544,529,1072,13,8,25,20,15,38,0,0,0,0,0,0,798,755,1562,115,134,253,17,13,30,1388,1323,2705,311,279,586,1947,1831,3779
SSC50082,692,719,1410,72,82,154,3,5,10,4,0,3,8,9,17,4,9,18,446,476,921,3,6,7,3,0,3,0,0,0,0,0,0,471,508,977,33,43,80,7,8,18,593,635,1229,84,72,155,1368,1419,2790
SSC50083,3408,3616,7025,356,390,748,44,37,78,69,66,134,46,44,95,14,13,29,1689,1665,3351,10,5,16,9,6,19,5,10,16,0,0,0,1884,1849,3732,473,489,964,106,145,242,2827,2871,5693,389,395,783,6621,6880,13501
SSC50084,297,312,615,101,92,194,10,12,18,0,0,9,3,3,12,0,3,6,152,150,293,0,0,0,4,4,13,0,0,0,0,0,0,176,169,348,30,20,50,3,7,10,311,290,602,81,62,142,693,667,1358
SSC50085,53,44,97,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,16,17,30,0,0,0,0,0,0,0,0,0,0,0,0,16,16,31,0,3,7,0,0,0,23,19,41,4,7,10,78,67,145
SSC50086,1228,1281,2506,129,134,268,18,17,40,18,28,42,18,24,40,9,3,10,536,594,1128,4,5,11,10,3,15,8,6,12,0,0,0,606,677,1290,133,134,269,21,16,36,897,968,1860,165,159,323,2283,2407,4689
SSC50087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50088,20,23,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,3,3,0,0,0,3,3,10,3,4,7,25,31,60
SSC50089,14,16,29,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,0,4,5,4,11,27,19,49
SSC50090,1769,1655,3423,165,158,332,26,21,41,23,14,42,21,12,37,17,8,22,819,695,1514,3,4,10,9,5,18,0,0,0,3,0,5,924,765,1687,517,537,1054,20,19,32,1628,1480,3112,219,191,410,3620,3326,6943
SSC50091,1316,1440,2757,99,90,185,21,26,48,31,28,55,10,9,21,0,4,4,598,607,1209,0,3,4,8,12,21,3,11,10,0,0,0,675,705,1376,171,183,352,22,9,29,956,985,1947,170,188,356,2445,2613,5058
SSC50092,776,727,1504,60,47,108,3,0,4,3,4,3,3,4,8,0,0,3,414,416,832,0,0,7,0,0,0,0,0,0,0,0,0,427,427,848,21,18,34,6,6,19,507,496,1008,87,79,166,1367,1311,2676
SSC50093,2724,2725,5445,165,159,330,19,19,33,22,14,37,17,17,30,6,6,13,706,736,1446,3,3,4,0,3,3,3,3,3,0,0,0,774,794,1567,242,248,489,23,13,43,1209,1222,2432,309,276,588,4240,4223,8468
SSC50094,53,45,104,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,11,14,28,0,0,0,0,0,0,0,0,0,0,0,0,11,14,28,0,0,0,0,0,0,16,20,37,3,3,7,74,68,142
SSC50095,9,9,17,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,4,8,0,0,0,0,0,0,0,0,0,0,0,0,4,6,8,0,0,3,0,0,0,10,6,11,4,3,12,23,18,40
SSC50096,9,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,0,0,0,0,0,0,5,5,11,0,0,4,13,18,29
SSC50097,41,40,74,10,5,12,0,0,0,0,0,0,0,0,0,0,0,0,9,15,28,0,0,0,0,0,0,0,0,0,0,0,0,9,15,28,0,0,0,0,0,0,18,22,39,3,4,8,62,62,124
SSC50098,1587,1628,3216,152,171,324,24,26,45,26,31,58,28,28,57,8,4,12,1054,1122,2178,4,4,8,14,10,19,3,3,4,0,0,0,1163,1231,2389,240,256,496,25,19,42,1580,1673,3247,203,182,388,3369,3483,6853
SSC50099,11,6,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,10,18
SSC50100,24,31,56,3,5,10,0,0,0,0,0,0,3,0,3,0,0,0,3,9,11,0,0,0,0,3,3,0,0,0,0,0,0,12,8,20,13,3,13,3,0,4,24,17,42,3,0,3,56,51,108
SSC50101,45,50,98,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,14,20,36,0,0,0,3,3,3,0,0,0,0,0,0,21,19,40,0,0,0,3,0,3,27,27,55,5,3,10,79,79,160
SSC50102,1126,1152,2271,62,75,136,9,11,19,9,10,15,12,16,24,3,0,3,345,382,729,0,3,3,0,4,5,0,0,0,0,0,0,377,420,797,114,117,225,9,7,18,562,614,1179,98,93,195,1787,1860,3646
