SSC_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
SSC50758,10,49,21,27,40,48,22,32,0,254,12,27,23,17,30,53,17,37,34,233,266,839,742,725,1051,1227,596,883,65,6394
SSC50759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SSC50760,8,25,15,16,28,36,15,24,0,160,7,15,3,12,17,27,16,27,16,140,139,521,307,417,646,737,336,489,43,3635
SSC50761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6
SSC50762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,3,7,9,11,10,24,0,79
SSC50763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,0,0,8,0,20
SSC50764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,6,0,16
SSC50765,3,0,0,3,3,6,9,3,0,27,5,0,0,0,0,0,4,0,8,18,36,67,56,61,64,102,37,143,18,594
SSC50766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,3,7,16,0,34
SSC50767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,6,17,14,10,17,24,24,51,3,171
SSC50768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,10,0,26
SSC50769,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,5,10,6,7,5,3,11,0,49
SSC50770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,3,0,0,5,0,11,3,34
SSC50771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,12
SSC50772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,7,0,10
SSC50773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,45,0,59
SSC50774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,11,4,15,0,36
SSC50775,3,9,4,12,8,11,8,11,3,62,3,6,7,0,29,16,7,3,23,95,49,172,141,147,346,236,86,115,40,1327
SSC50776,0,0,0,0,4,3,0,0,0,11,0,0,0,0,4,4,0,4,3,18,11,34,38,41,93,72,42,52,12,403
SSC50777,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,4,0,7,3,8,8,6,10,16,6,34,0,107
SSC50778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,7,3,9,0,23
SSC50779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,15,3,4,4,4,16,0,63
SSC50780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,4,3,0,3,0,25
SSC50781,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,6,13,13,16,11,19,4,25,4,111
SSC50782,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,4,4,0,5,4,5,3,7,3,11,4,44
SSC50783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,8,14,0,27
SSC50784,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,3,4,5,0,24
SSC50785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,0,3,0,11,3,21,0,56
SSC50786,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,8,14,16,4,16,18,25,47,0,161
SSC50787,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,9,3,6,3,29,0,52
SSC50788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10
SSC50789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,8,17,0,41
SSC50790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,9,0,27
SSC50791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,11,0,16
SSC50792,0,4,3,15,20,28,17,17,0,104,6,9,5,10,26,21,7,28,20,131,127,155,138,228,477,527,326,654,44,2682
SSC50793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4
SSC50794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,16
SSC50795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4
SSC50796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5
SSC50797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5
SSC50798,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,3,8,15,20,17,12,11,18,0,100
SSC50799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,8
SSC50800,0,0,0,0,3,3,0,0,0,13,0,0,0,0,0,0,0,0,3,3,0,6,8,21,21,12,9,13,3,97
SSC50801,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,5,10,3,3,0,10,0,12,4,59,6,93
SSC50802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,6,0,24
SSC50804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,10
SSC50805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,7,0,19
SSC50806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,7
SSC50807,0,0,0,0,0,0,0,0,0,4,0,3,0,0,4,0,0,0,3,13,16,29,27,29,41,33,26,59,8,272
SSC50808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,14
SSC50809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,36,3,45
SSC50810,0,3,3,0,4,8,3,4,0,25,0,0,0,0,0,7,0,0,4,12,14,19,22,40,19,66,27,72,4,283
SSC50811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,12,0,18
SSC50812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5
SSC50813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,5,3,3,6,0,7,8,22,3,59
SSC50814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,3,0,18
SSC50815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,10
SSC50816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,14
SSC50817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,9,24,0,43
SSC50818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
SSC50819,3,19,11,14,10,10,11,14,3,94,6,3,7,5,14,19,3,24,11,89,105,212,193,216,353,322,197,439,35,2072
SSC50820,0,3,3,5,8,4,3,17,0,41,0,0,0,0,5,10,3,10,8,31,37,88,72,99,144,144,155,355,16,1110
SSC50821,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,4,12,22,28,28,21,28,38,41,81,16,304
SSC50822,3,39,36,27,59,81,24,49,3,321,12,30,15,27,56,50,21,33,44,284,217,729,624,686,1245,1301,609,962,81,6464
SSC50823,0,3,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,4,3,12,9,10,16,20,11,14,0,97
SSC50824,3,11,13,9,30,9,11,8,0,91,6,18,17,8,30,23,9,5,29,151,55,299,243,278,550,455,175,218,58,2341
SSC50825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,3,3,10,3,27
SSC50826,0,11,10,6,19,12,4,3,0,59,3,8,3,10,11,14,6,18,9,88,72,206,198,181,292,374,184,229,16,1757
SSC50827,0,0,0,0,0,0,0,3,0,5,3,3,0,0,0,0,0,3,4,12,31,16,19,21,25,39,49,244,11,450
SSC50828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC50829,0,8,9,3,18,14,0,6,0,53,0,6,3,4,17,12,8,12,16,71,44,159,122,163,269,209,113,197,33,1324
SSC50830,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,6,9,15,13,14,3,10,3,17,5,77
SSC50831,0,4,4,10,22,11,3,10,0,62,3,3,0,0,14,29,6,12,10,80,75,148,145,166,365,436,236,301,28,1891
SSC50832,0,0,0,0,0,3,0,0,0,4,0,4,3,0,0,0,0,0,0,4,3,23,9,15,10,11,6,30,0,110
SSC50833,3,25,28,20,44,38,16,29,0,201,0,37,21,26,29,42,24,45,23,249,164,843,665,620,958,1042,549,800,56,5687
SSC50834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50835,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,4,13,7,15,11,12,8,23,183,3,271
SSC50836,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,3,3,5,9,10,11,15,9,22,0,83
SSC50837,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,3,0,4,16,12,15,26,46,35,25,197,9,382
SSC50838,0,3,7,13,3,12,6,7,0,51,5,10,3,3,6,14,0,4,8,49,72,188,159,172,194,206,145,268,20,1426
SSC50839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50840,3,35,18,22,28,41,17,21,0,189,4,13,21,12,19,26,11,20,21,149,134,533,382,463,574,689,361,582,61,3783
SSC50841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7
SSC50842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4
SSC50843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,4,4,3,8,0,29
SSC50844,0,4,3,6,7,4,4,0,0,27,0,7,0,0,0,6,3,7,5,31,33,113,81,86,105,115,64,97,15,717
SSC50845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,4,0,16
SSC50846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7
SSC50848,3,5,6,9,10,12,7,3,0,54,0,8,7,3,22,8,3,9,14,77,51,149,122,176,329,199,98,160,42,1324
SSC50849,0,3,0,3,3,3,0,0,0,21,3,3,4,4,4,6,0,0,7,24,27,81,48,61,89,68,42,35,9,464
SSC50850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,9
SSC50851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,8,0,21
SSC50853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,5,14,4,13,9,7,8,13,0,69
SSC50854,3,6,0,3,10,9,5,9,0,40,0,5,6,4,4,8,0,9,7,53,60,109,108,106,145,171,99,199,18,1010
SSC50855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,8
SSC50856,3,0,0,7,6,3,3,12,0,32,0,5,0,3,4,7,0,11,9,41,47,100,88,128,124,123,68,122,12,822
SSC50857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,6,17,11,9,9,8,0,70
SSC50858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,7,0,0,5,10,0,43
SSC50859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,3,4,0,17,0,43
SSC50860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10
SSC50861,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,0,18,0,30
SSC50862,4,11,9,7,16,13,7,0,3,67,4,4,7,8,21,16,4,8,17,85,50,192,175,190,305,259,140,165,39,1522
SSC50863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,11
SSC50864,6,22,18,22,68,43,19,26,3,224,13,20,20,29,60,59,23,24,56,295,172,468,443,526,1107,780,377,527,111,4515
SSC50865,4,25,18,11,27,21,14,9,0,117,0,7,8,10,23,25,8,22,21,120,110,355,320,303,547,568,299,420,47,2966
SSC50866,3,9,3,5,4,3,4,3,0,30,3,5,4,4,5,15,7,8,5,50,68,181,134,133,208,219,128,243,14,1337
SSC50867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC50868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
SSC50869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,6,0,18
SSC50870,3,3,3,3,3,3,4,0,0,17,0,0,3,0,3,0,0,4,8,22,14,49,55,38,61,68,29,66,11,397
SSC50871,0,0,0,3,6,3,0,9,0,21,0,0,0,0,7,3,0,0,3,19,25,36,34,48,75,71,40,56,0,384
SSC50872,3,20,9,15,25,20,19,26,0,129,3,15,9,9,16,27,7,21,10,116,73,299,207,221,400,421,221,380,34,2261
SSC50873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7
SSC50874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,0,3,11,0,25
SSC50875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC50876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,16
SSC50877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,14
SSC50878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,3,0,11
SSC50880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,0,3,3,0,23
SSC50881,4,14,16,11,28,25,8,7,0,119,3,9,8,8,18,18,6,14,22,105,142,311,327,326,513,353,231,403,67,2670
SSC50882,3,9,4,9,17,18,7,6,0,79,6,4,0,11,8,12,4,12,14,71,126,237,191,202,294,335,165,317,34,1898
SSC50883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,0,14
SSC50884,5,7,4,6,5,8,10,5,0,56,3,13,4,5,17,9,3,9,13,81,74,266,204,195,279,354,207,286,28,1900
SSC50885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,8,8,10,6,8,3,18,0,76
SSC50886,4,42,34,25,43,45,26,33,3,258,5,30,14,34,60,33,16,18,64,275,158,625,512,561,986,863,398,526,136,4767
SSC50887,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,4,3,12,0,25
SSC50888,0,3,0,3,0,3,0,0,0,7,0,3,0,0,0,0,0,0,0,13,6,24,17,18,27,25,25,28,3,178
SSC50889,0,0,0,0,3,0,0,3,0,7,0,0,0,0,0,0,0,0,7,10,14,12,9,30,18,29,4,133,15,257
SSC50890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,6,0,13,0,30
SSC50891,0,0,0,3,0,3,0,4,0,13,3,3,0,0,0,4,0,7,3,18,13,15,28,22,33,52,30,66,5,261
SSC50892,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,19,0,18,32,13,14,3,15,15,20,554,15,676
SSC50893,6,26,20,20,19,21,4,10,3,125,17,26,13,16,22,30,14,32,29,203,219,535,446,525,551,623,288,541,63,3802
SSC50894,0,4,3,5,3,3,3,3,0,24,0,3,0,4,3,10,0,7,3,30,19,62,42,45,60,80,21,82,11,426
SSC50895,0,12,5,9,4,3,0,0,0,34,3,9,7,6,0,5,3,7,3,47,53,197,128,126,125,218,94,173,12,1129
SSC50896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9
SSC50897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,7
SSC50898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,6,12,0,24
SSC50899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50901,0,3,3,4,8,8,4,9,0,44,0,5,0,3,7,18,5,0,11,44,25,80,61,94,134,157,64,105,12,728
SSC50902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,3,0,26,7,43
SSC50903,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,16,6,13,7,8,7,17,0,71
SSC50904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,13
SSC50906,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,3,5,10,13,8,3,10,11,44,0,107
SSC50907,8,21,28,24,42,45,35,27,3,232,11,28,39,18,33,65,22,28,43,282,251,639,715,705,1434,1445,722,1057,99,7064
SSC50908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,4,0,13,0,26
SSC50909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,8,0,19
SSC50910,0,14,10,11,13,17,11,13,4,98,0,3,3,4,6,11,4,8,11,67,64,205,163,222,294,292,174,230,26,1672
SSC50911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC50912,8,20,11,15,21,19,5,26,0,124,3,8,9,3,16,20,15,24,18,113,147,383,295,402,643,528,276,636,44,3360
SSC50913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,10,15,11,16,15,7,31,3,104
SSC50914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,16
SSC50915,0,6,8,4,3,0,0,8,0,29,0,3,4,3,7,13,7,7,10,49,24,105,83,105,172,161,81,110,16,851
SSC50916,0,0,0,0,0,0,0,3,0,8,3,0,0,0,0,0,0,4,13,23,16,16,9,17,32,25,30,131,17,296
SSC50917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8
SSC50918,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,10,18,11,6,9,10,26,3,96
SSC50919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,9,0,17
SSC50920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,9,15,3,0,10,4,13,3,60
SSC50921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50922,0,16,12,18,12,14,12,16,0,105,4,11,7,10,24,26,3,24,8,120,98,406,313,306,393,509,275,461,30,2796
SSC50923,0,4,4,3,0,3,0,9,0,22,0,4,3,0,6,4,7,9,3,33,18,176,118,107,122,153,67,186,13,955
SSC50924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,3,0,6,3,12,3,34
SSC50925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,12,0,16
SSC50926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,3,3,16,0,34
SSC50927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,0,0,3,13,0,29
SSC50928,3,3,7,8,14,15,5,23,0,68,3,0,5,0,6,5,3,6,11,40,63,120,93,139,221,215,153,203,30,1241
SSC50929,0,11,5,10,19,15,3,15,0,70,3,5,16,3,27,22,8,5,32,121,77,219,177,237,381,332,148,257,50,1878
SSC50930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,3,0,15
SSC50931,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,5,9,18,4,19,20,14,3,20,4,112
SSC50932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,8,0,17
SSC50933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,9
SSC50934,4,3,5,9,16,16,11,10,0,60,0,3,0,5,13,11,3,9,12,61,41,101,124,126,262,216,96,187,29,1178
SSC50935,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,3,9,10,14,13,14,28,9,37,0,133
SSC50936,0,3,3,0,0,3,0,0,0,12,0,3,0,0,0,0,0,0,0,11,16,52,30,37,46,40,19,56,4,312
SSC50937,3,5,9,8,23,21,10,11,3,90,5,13,3,6,29,16,9,18,19,114,85,232,191,257,598,418,233,341,35,2402
SSC50938,0,6,7,3,3,3,3,0,0,29,0,3,0,0,8,3,0,4,12,28,18,64,35,69,119,91,53,66,27,532
SSC50939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,10,3,4,13,10,27,0,76
SSC50940,0,0,5,5,9,4,3,8,0,36,7,11,0,0,9,9,8,25,7,81,56,70,49,73,149,172,139,259,22,991
SSC50941,0,8,3,7,7,12,11,6,4,63,3,4,0,4,4,4,4,10,12,43,54,128,101,130,202,202,147,225,22,1209
SSC50942,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,8,17,13,20,16,12,10,33,3,141
SSC50943,0,0,3,0,0,0,0,3,0,10,0,0,0,0,4,3,0,0,5,15,3,31,31,28,35,51,28,40,7,255
SSC50944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,10,0,18
SSC50945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,9
SSC50946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,8
SSC50947,0,0,0,0,7,0,0,0,0,18,0,4,0,3,4,0,0,8,3,24,19,53,37,49,70,45,45,67,5,391
SSC50948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,7,0,13
SSC50949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,3,5,15,0,36
SSC50950,0,21,13,20,25,22,13,24,0,137,11,23,16,11,12,35,13,34,30,178,112,561,378,411,562,735,322,658,60,3799
SSC50951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,13
SSC50952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,8,0,17
SSC50953,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,3,3,8,11,9,17,13,21,6,41,5,127
SSC50954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,8,0,4,3,12,0,36
SSC50955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,10
SSC50956,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,10,0,27
SSC50957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,3,0,7,0,21
SSC50958,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,7,0,4,3,3,5,15,6,20,0,69
SSC50959,0,10,3,6,5,9,0,12,0,38,0,8,3,0,3,3,0,3,4,30,23,106,76,109,153,137,98,106,20,823
SSC50960,3,27,24,15,25,24,12,8,4,133,5,33,6,22,64,31,9,18,60,245,88,411,319,393,660,459,202,251,113,2892
SSC50961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,15,0,7,0,23
SSC50963,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,3,7,7,3,9,9,12,0,45
